Name,Cuisine,Location,rating,num_of_rating,price_for_two
Momo Maker,"Snacks, Tandoor","Central Market, Lajpat Nagar",4.7,20,200
Moets Kulfi,"Desserts, Beverages","Defence Colony Market, Defence Colony",4.7,50,200
Behrouz Biryani - Royal & Safe,"Biryani, Mughlai","Near Metro Station, Shakarpur Khas",4.7,1000,500
Triveni Terrace Cafe,Indian,"Opposite Ficci Auditorium, Mandi House",4.7,50,400
Momo Guy,"Chinese, Tibetan","Gtb Nagar, Gtb Nagar",4.6,20,200
Saini Juice,Beverages,"Near Radhe Krishna Mandir, Gautam Nagar",4.6,100,150
Teavaro,"Beverages, Snacks","Gtb Nagar, Gtb Nagar",4.6,50,400
Gannu'S Shakes And Snacks,"Snacks, Beverages","Laxmi Nagar, Shahdara",4.6,20,200
Sabharwal Aunty'S Kitchen,Indian,"Ashok Vihar, Ashok Vihar",4.6,20,350
Punikar'S Mumbai Street Food,Closes Soonsouth Indian,"Pandav Nagar, Mayur Vihar",4.6,20,150
Choko La,"Bakery, Desserts","Defence Colony, Kotla Mubarakpur",4.6,50,600
The Old Delhi,"Mughlai, North Indian","Lajpat Nagar, Defence Colony",4.6,20,400
Aku'S - The Brrgrr Co.,"American, Beverages","South Extension, South Extension",4.6,50,600
Zoet Ice Cream And Desserts,"Desserts, Bakery","Maharani Bagh, Defence Colony",4.6,20,300
Sanadige,"Indian, Coastal","Chanakyapuri, Chanakyapuri",4.6,20,1500
Suvidha Vegetarian (Old Delhi Original),Indian,"Daryaganj, Daryaganj",4.6,100,300
Salad Days,Salads,"Gole Market, Gole Market",4.6,100,600
Caffe Tonino,Italian,"Pvr Plaza, Connaught Place",4.6,20,1400
Havmor Havfunn Ice Cream,"Ice Cream, Ice Cream Cakes","M Block Cp, M Block Cp",4.6,50,200
Natural Ice Cream,Ice Cream,"L Block,Outer Circle, Connaught Place",4.6,100,150
Kwality Walls Frozen Dessert And Ice Cream Shop,"Desserts, Ice Cream","Connaught Place, Connaught Place",4.6,50,300
